module,test,dtype,n_total,n_diff,max_ulp,tol,histogram,status
pdf,pdf batch=100,float64,100,0,0,0,—,bit-identical
pdf,pdf batch=100,float32,100,0,0,0,—,bit-identical
pdf,pdf(0.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(1.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(-1.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(2.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(-2.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(3.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(-3.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(5.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(-5.0),float64,1,0,0,0,—,bit-identical
pdf,pdf(0.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(1.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(-1.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(2.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(-2.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(3.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(-3.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(5.0),float32,1,0,0,0,—,bit-identical
pdf,pdf(-5.0),float32,1,0,0,0,—,bit-identical
pdf,pdf extreme,float64,8,0,0,0,—,bit-identical
pdf,pdf extreme,float32,8,0,0,0,—,bit-identical
pdf,"pdf(loc=0.0,scale=1.0)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=1.0,scale=1.0)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=-2.0,scale=1.0)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=0.0,scale=2.0)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=0.0,scale=0.5)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=3.0,scale=4.0)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=-1.5,scale=0.3)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=5.0,scale=10.0)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=0.0,scale=1.0)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=1.0,scale=1.0)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=-2.0,scale=1.0)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=0.0,scale=2.0)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=0.0,scale=0.5)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=3.0,scale=4.0)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=-1.5,scale=0.3)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=5.0,scale=10.0)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=-10.0,scale=0.01)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=10.0,scale=0.01)",float64,100,0,0,0,—,bit-identical
pdf,"pdf(loc=-10.0,scale=0.01)",float32,100,0,0,0,—,bit-identical
pdf,"pdf(loc=10.0,scale=0.01)",float32,100,0,0,0,—,bit-identical
cdf,cdf batch=100,float64,100,0,0,0,—,bit-identical
cdf,cdf batch=100,float32,100,0,0,0,—,bit-identical
cdf,cdf(0.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(1.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(-1.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(2.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(-2.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(3.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(-3.0),float64,1,0,0,0,—,bit-identical
cdf,cdf(0.0),float32,1,0,0,0,—,bit-identical
cdf,cdf(1.0),float32,1,0,0,0,—,bit-identical
cdf,cdf(-1.0),float32,1,0,0,0,—,bit-identical
cdf,cdf(2.0),float32,1,0,0,0,—,bit-identical
cdf,cdf(-2.0),float32,1,0,0,0,—,bit-identical
cdf,cdf(3.0),float32,1,0,0,0,—,bit-identical
cdf,cdf(-3.0),float32,1,0,0,0,—,bit-identical
cdf,"cdf(loc=0.0,scale=1.0)",float64,100,0,0,0,—,bit-identical
cdf,"cdf(loc=1.0,scale=1.0)",float64,100,0,0,0,—,bit-identical
cdf,"cdf(loc=-2.0,scale=1.0)",float64,100,0,0,0,—,bit-identical
cdf,"cdf(loc=0.0,scale=2.0)",float64,100,0,0,0,—,bit-identical
cdf,"cdf(loc=0.0,scale=0.5)",float64,100,0,0,0,—,bit-identical
cdf,"cdf(loc=3.0,scale=4.0)",float64,100,0,0,0,—,bit-identical
cdf,"cdf(loc=0.0,scale=1.0)",float32,100,0,0,0,—,bit-identical
cdf,"cdf(loc=1.0,scale=1.0)",float32,100,0,0,0,—,bit-identical
cdf,"cdf(loc=-2.0,scale=1.0)",float32,100,0,0,0,—,bit-identical
